hatespeech,counterspeech,csType,hs_id,id,hatespeechTarget,powerDynamics,hatespeechOffensiveness
There should be a restriction on asian actors in action movies. This must stop.,I don't think there is anything wrong with asian actors in movies. Maybe we should have a restriction on xenophobia instead.,Denouncing,1046,2323,asian_people,racial,offensive
"What the hell are you talking about? Arabs are different, they dont even speak English.","Arabs are diverse individuals who can speak various languages, including english, and deserve respect and equality.",Denouncing,1698,13492,asian_people,ethnicity_and_culture,offensive generalization
Its OK to be racist against Asians.,"Actually, it is not okay to be racist against asians. Racism goes against the principles of equality and human rights. Asians have made significant contributions to various fields, such as technology, science, arts, and culture. Asians have also faced discrimination and prejudice throughout history, including the internment of japanese americans during world war ii. Promoting racial equality and understanding benefits society as a whole, fostering diversity and enriching our communities. #noroomforhate",Informative,598,10609,asian_people,racial,offensive generalization
Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,"Hateful stereotypes perpetuate division and prejudice. However, it's important to address misconceptions with facts. Asians contribute significantly to the cultural, economic, and social fabric of our country. They are not a problem but an integral part of our diverse society. Asians make up a small percentage of the population, and their contributions in technology, entrepreneurship, and academia are well-documented. Embracing diversity benefits us all, fostering innovation and understanding. Let's focus on building an inclusive and harmonious society for everyone. #celebratediversity",Informative,601,8257,asian_people,racial,offensive generalization
"I just cant stand Arabs. They are just a trouble, in fact Israel expelled them.","It's important to remember that making sweeping generalizations about any group of people can perpetuate stereotypes and fuel division. It is crucial to promote understanding and empathy rather than spreading hate speech. It's worth recognizing that every community has diverse individuals, and it's unfair to judge an entire group based on the actions of a few. Let's work towards building bridges and fostering inclusivity for everyone.",Positive,1695,6824,asian_people,ethnicity_and_culture,offensive generalization
"Syrians are a burden to Europe and the world, they are a drain on the NHS and they are making us poor.","I understand that you might have concerns about the impact of the syrian population in europe, but it's important to remember that generalizations can be misleading. Many syrians have fled their homes due to conflict and are seeking safety and a chance to rebuild their lives. It's essential to approach this topic with empathy and understanding. Let's focus on finding ways to support each other and create a harmonious society where everyone can contribute positively. If you have any specific concerns, i'm here to listen and have a respectful conversation.",Positive,793,7481,asian_people,ethnicity_and_culture,offensive generalization
Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,Why don't you just study the differences between cultures and try to see what's good in an inclusive society?,Questioning,601,1582,asian_people,racial,offensive generalization
"What the hell are you talking about? Arabs are different, they dont even speak English.",Have you encountered all arabs? are you suggesting that language defines whether people are different or not?,Questioning,1698,3241,asian_people,ethnicity_and_culture,offensive generalization
I cant tolerate blacks.,"Every individual deserves respect and equality, regardless of their race. Discrimination and intolerance have no place in a compassionate and inclusive society.",Denouncing,600,9352,black_people,racial,offensive generalization
"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",All humans regardless of race have equal capacity to experience and contribute to the full spectrum of humanity. Let's promote inclusivity and embrace diversity.,Denouncing,362,9280,black_people,racial,offensive generalization
All black people are criminals.,"It is a myth that all black people are criminals. They are just as capable as anyone else of learning and growing as individuals, i.e. Either as law abiding citizens or criminals.",Informative,2670,4806,black_people,racial,offensive generalization
All negroes are inherently violent and unstable.,The idea that every black person is violent or unstable is utterly false. And you have no data to back it up.,Informative,369,1182,black_people,racial,offensive generalization
Black folks are not attractive they are just apes.,"Black people are still subject to oppression, and if we truly cared about beauty we should also care about the beauty of respect.",Positive,2119,3902,black_people,racial,offensive generalization
African Americans are subhuman and are just a bunch of animals.,"It's important that we treat each other with respect and empathy, irrespective of our racial backgrounds. Embracing diversity enriches our societies and allows us to learn from one another. African americans have made significant contributions to various fields, demonstrating intelligence, talent, and creativity. It's essential to promote inclusivity and equality to build a society that celebrates everyone's unique qualities and experiences.",Positive,1438,7946,black_people,racial,offensive generalization
The nigga were always complaining that the white race and culture were superior. They were right.,Do you truly believe that one race or culture is inherently superior to others? can you provide any evidence to support this claim?,Questioning,2762,7553,black_people,racial,offensive generalization
"White people are better. Because of our skin color, anatomy, history.",Why should anyone be excluded based on their disability? what about diversity and equal opportunities for all?,Questioning,2767,13523,black_people,racial,offensive generalization
The Gypsies steal the children,"There is no need to refer to the roma people as gypsies, it is detrimental. Also, nothing of what you are saying has been proven true.",Denouncing,126,508,gypsies,ethnicity_and_culture,offensive generalization
Gypsies are way less civilized than any other ethnicity.,Such generalizations are harmful and perpetuate stereotypes. It is unjust to judge any ethnicity as less civilized based on biased assumptions and ignorance.,Denouncing,2370,9167,gypsies,ethnicity_and_culture,offensive generalization
Gypsies like living in trailer parks.,Most of them live in conventional housing. When they live in the camps it is because they do not have the possibility to have adequate housing. In the end they find themselves living in distant industrial areas that are not well connected to services. This creates a lot of social hardship as well as denial of access to basic rights such as education and health.,Informative,144,578,gypsies,racial,offensive generalization
The Gypsies are not my brothers.,"The gypsies have been persecuted for thousands of years. They have always been an ethnic minority facing discrimination. They are human beings, like the rest of us, and deserve to be considered as such.",Informative,1016,2234,gypsies,racial,microaggression
Gypsies are essentially thieves.,"It is important to avoid generalizations and stereotypes about any community, including the gypsy community. Stereotyping an entire group based on the actions of a few individuals is unfair and perpetuates discrimination. Let's focus on promoting understanding and empathy towards diverse communities, appreciating their rich cultural heritage and contributions.",Positive,2517,9159,gypsies,ethnicity_and_culture,offensive generalization
Gypsies are the ones who want to stay in the slums,"Nobody chooses an adverse lifestyle. This is truly unfair for the communities that have been oppressed, who continue to suffer. Instead of letting them fall further down the hole of poverty, we need to pull them up by helping in any way we can.",Positive,145,585,gypsies,ethnicity_and_culture,offensive generalization
The Gypsies are not my brothers.,What evidence can you provide to support the assertion that all feminists are naive and act like children?,Questioning,1016,6310,gypsies,racial,microaggression
Gypsies do not send children to school,"If their children are being exposed to hate in their schools and being segregated, what kind of romani parent would want to send them?",Questioning,133,535,gypsies,ethnicity_and_culture,offensive generalization
"Immigrants steal our jobs, and they should not be allowed to work.",It is unfair to blame immigrants for job scarcity. Immigrants contribute to the economy and bring diverse skills that enhance our society.,Denouncing,1903,10033,immigrants,immigration_and_citizenship,offensive generalization
Migrants come here to undermine our national identity,"Migrants respect their sense of national identity the same as you. Nobody is trying to take it away from you, like you are arguing.",Denouncing,3441,5985,immigrants,ethnicity_and_culture,offensive generalization
Foreigner should go back where they came from. They are not our brothers.,"Our countries were founded by foreigners, for example the united states. Foreigners have the right to migrate, if they want to.",Informative,1086,2380,immigrants,immigration_and_citizenship,offensive generalization
Not sure why noone else is worried. This is an invasion. Millions of strangers jeopardizing our race and culture.,"This is not true, we have always had people of different races in positions of power. We also have the freedom to choose our own culture.",Informative,2639,4756,immigrants,racial,offensive generalization
Migrants come here to have a better life upon our shoulders.,"I understand that you might have concerns about the impact of migration on our society. It's natural to worry about change and how it might affect our way of life. However, it's important to remember that migrants often come to seek better opportunities for themselves and their families. Instead of seeing it as a burden on our shoulders, let's try to see it as an opportunity for cultural exchange and growth. By embracing diversity, we can build stronger communities where everyone can thrive. Let's work together to create a welcoming and inclusive society for all.",Positive,1096,11369,immigrants,ethnicity_and_culture,offensive generalization
Immigration is just a way to create more poverty and unemployment in our country.,"It's important to approach this topic with empathy and understanding. Immigration can actually bring numerous benefits to a country, such as cultural diversity, economic growth, and job creation. Immigrants often contribute positively to the economy, starting businesses and filling labor market gaps. While it's valid to discuss the potential challenges and look for solutions, let's remember that immigration is a complex issue and not simply the cause of poverty and unemployment.",Positive,933,10100,immigrants,racial,offensive generalization
Our founders were not happy with this thing you call multiculturalism there should be a reason.,Why assume that all women don't want equality? can we explore the societal factors influencing perceptions of equality and consider individual perspectives?,Questioning,1604,12069,immigrants,racial,microaggression
Migrants are a threat and we should expel them all.,Are all migrants really a threat? how can we address concerns without resorting to expulsion policies that may violate human rights?,Questioning,2066,11259,immigrants,ethnicity_and_culture,offensive generalization
Jews are nothing but criminals,"Jews are persecuted all over the world for various reasons, but there is no evidence that what you say is real.",Denouncing,877,2017,jews,religion,offensive generalization
Jews are a burden to society and should be eliminated.,"I denounce this hateful and anti-semitic claim. Jews are valuable members of society who deserve respect, acceptance, and protection from discrimination.",Denouncing,1490,10711,jews,religion,hate speech
"Jews are worse than Nazis, they have no conscience and they have no moral code.","This statement is factually incorrect and promotes harmful stereotypes. Jews are not worse than nazis; in fact, they were the victims of the holocaust under nazi rule. Jews, like any other group, consist of individuals with diverse beliefs, values, and moral codes. Jewish communities have made significant contributions to various fields such as science, arts, and philanthropy. It is important to reject hateful rhetoric and promote understanding and respect for all individuals, regardless of their religious or ethnic background.",Informative,2414,10951,jews,religion,offensive generalization
Escaping jewish persecution? This is a lie they came here to replace us.,"Just because they came to our country does not mean that they want to replace us. On the contrary, many of them are here to contribute to our country.",Informative,2616,4721,jews,religion,offensive generalization
Jews were responsible for the 911 attack.,"What happened was horrifying, but we will only do more harm than good by blaming the wrong people. It is time to unite against evil, not divide the good.",Positive,82,333,jews,religion,offensive generalization
Do you actually believe that the Jews are just normal people and not evil bastards responsible for all the bad in the world?,"I understand that you may have some strong opinions, but it's important to approach sensitive topics with empathy and respect. We shouldn't generalize or label any group of people based on their religion or ethnicity. We're all human beings and it's essential to foster understanding and appreciation for our diverse backgrounds. Let's engage in a civil dialogue where we can share our perspectives and find common ground instead of perpetuating hate.",Positive,876,8532,jews,religion,offensive generalization
We would be better off without Jews who want to rule the world like in the Bible.,"The world is better off without antisemitism, racism, sexism, ableism and intolerance. Don't you think so?",Questioning,1862,3483,jews,religion,offensive generalization
"Muslims are worse than Nazis, and Jews worse than alQaeda.","Shouldn't our worth be based on individual qualities and actions, rather than the color of our skin? what makes one race inherently better than others?",Questioning,2757,11799,jews,religion,offensive generalization
"I dont like gays, I dont want to be around them. I want to watch them thrown in jail.","Nobody cares whether you like them or not, what preferences people have, have nothing to do with you so i would suggest you stop commenting on it.",Denouncing,3305,5654,lgbtq+,sexuality_lgbtq+,offensive generalization
"Faggots are sexual abuser of children. These animals should be put out of their misery, condemned to death.","Hate speech targeting any individual or community is not tolerated. We promote love, acceptance, and equality for all, regardless of sexual orientation.",Denouncing,435,8647,lgbtq+,sexuality_lgbtq+,offensive generalization
