source,HATE_SPEECH,COUNTER_NARRATIVE,Matched_counterSpeech
intentconan,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"you're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!","you're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!"
intentconan,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",you'd rather be nuked then?,you'd rather be nuked then?
intentconan,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"you seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/","you seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/"
intentconan,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","you can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.","you can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in."
intentconan,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",wouldn't you say its colonialism from many different countries and the consequesequences of western intervention abroad which led to a lot of radicalisation and extremism?,wouldn't you say its colonialism from many different countries and the consequesequences of western intervention abroad which led to a lot of radicalisation and extremism?
intentconan,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?
intentconan,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"would be intersting to see how much money ""foreigners"" are giving the uk in terms of taxes. it's not hard to see how much we have to thank them for. would be beneficial for everyone to focus on stopping tax evasion instead.","would be intersting to see how much money ""foreigners"" are giving the uk in terms of taxes. it's not hard to see how much we have to thank them for. would be beneficial for everyone to focus on stopping tax evasion instead."
intentconan,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","women are women the world over, full stop.","women are women the world over, full stop."
intentconan,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",without women there would be no men.,without women there would be no men.
intentconan,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",without softeness and emotions there would just be brutality and cruelty. not all women are soft and emotional and many men have these characteristics. to perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,without softeness and emotions there would just be brutality and cruelty. not all women are soft and emotional and many men have these characteristics. to perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.
intentconan,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",what makes you think that women are jealous of men? what qualities do you value as a white male?,what makes you think that women are jealous of men? what qualities do you value as a white male?
intentconan,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",why do we need supremacy? we are all created equal in the eyes of god.,why do we need supremacy? we are all created equal in the eyes of god.
intentconan,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,we should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... i think this should be remembered forever!,we should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... i think this should be remembered forever!
