source,HATE_SPEECH,COUNTER_NARRATIVE,Matched_counterSpeech,strategy
ICONAN,"The UK Government recently published a paper on 'Online Harms' - in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,Informative
ICONAN,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","at least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. they blame not only jews, but also african americans, immigrants, the federal government and even lizards from space for everything that goes wrong!","at least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. they blame not only jews, but also african americans, immigrants, the federal government and even lizards from space for everything that goes wrong!",Denouncing
ICONAN,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"400 jews died in september 11 terrorist attacks, so not one of the smartest plan i ever saw!","400 jews died in september 11 terrorist attacks, so not one of the smartest plan i ever saw!",Informative
ICONAN,The Jews are the reason why the World Cup is getting so expensive.,really? i thought it was due to the salaries of the players... but of course it's the same old jewish conspiracies fault.,really? i thought it was due to the salaries of the players... but of course it's the same old jewish conspiracies fault.,Informative
ICONAN,Gays are worse that nukes. They like to force their beliefs on others.,"well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.","well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.",Informative
ICONAN,Women are subhuman.,"i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?","i would say you've got an interesting point there, but i really don't see it. why would they be part of society if they're subhumans?",Questioning
ICONAN,"Islam is a death cult, it is spreading from the rocks of Iraq and Afghanistan to all around the world, by the practice of violent jihad.","do you know where your information came from, and can you point that out? did you read that in a new york times article? or did you listen to the bbc documentary ""islamic state's most wanted""?","do you know where your information came from, and can you point that out? did you read that in a new york times article? or did you listen to the bbc documentary ""islamic state's most wanted""?",Informative
ICONAN,"Every Muslim is a potential terrorist, and we should ban them all.","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?","you mean in the same way that we should ban alcohol, tobacco, and certain medical products? is this what you mean?",Questioning
ICONAN,"We are the slaves of foreign immigrants, they are destroying our democracy.","well, who would have thought that the end of the 19th century would have seen a world conspiracy to bring us migrants of all backgrounds, religions and nationalities, to destroy our democracy?","well, who would have thought that the end of the 19th century would have seen a world conspiracy to bring us migrants of all backgrounds, religions and nationalities, to destroy our democracy?",Informative
ICONAN,"Jews are just like animals, they are incapable of love.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.","what you are saying is that jews are incapable of love because they are like animals. you are wrong, jews are people. i have never heard about a jewish fish nor a rabbi rabbit.",Denouncing
