hateSpeech,counterSpeech,cnType,Target
mentally disabled folks deserve to be abused,"This is not true, disabled people deserve to be protected from harm, they are people who face many issues already, let's not add emotional distress.",Denouncing,DISABLED
mentally disabled folks are just dribbling mongoloids.,"It is not acceptable to deny human dignity to others because they are disabled. Human dignity is not a property, but a right. And every person has it, irrespective of their condition.",Denouncing,DISABLED
"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.","Because education is fundamental for the fulfillment of job requirements, education is necessary regardless of physical ability.",Informative,DISABLED
Downies are dumb,"According to this study [link], the mean IQ of a young adult with Down syndrome is 50, equivalent to the mental ability of an 8- or 9-year-old child, but this can vary widely. So, no, they are not dumb.",Informative,DISABLED
Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,Including students with learning difficulties in schools creates a link between pupils with different abilities and education in general.,Positive,DISABLED
Physically disabled folks are born for being mocked.,Being physically or mentally disabled is not a 'mocking attribute'. It is just a characteristic that should not affect how people are treated.,Positive,DISABLED
Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.",Questioning,DISABLED
The responsibility for disability lies with the individuals who are not giving them enough support.,Social services can't pay for everything. But what about the people who have to live with disability? Is their fault as well?,Questioning,DISABLED
All Jews are criminals.,"Although antisemitism is a pervasive and longstanding problem in many parts of the world, it has historically been particularly strong and sustained in our country. Your statement is a further evidence of this.",Denouncing,JEWS
We would be better off without Jews who want to rule the world like in the Bible.,"The world is better off without antisemitism, racism, sexism, ableism and intolerance. Don't you think so?",Denouncing,JEWS
The Jew is the worst oppressor of the world. They have ruled the earth since time immemorial. They have a hidden agenda to dominate humanity and destroy our culture.,"Oh dear, Jews are the problem of our world. They have ruled the Earth for eons! In particular, their most brilliant period ranges from 1941 to 1945, when they weren't allowed to walk in the streets unless they wore a yellow badge... #sarcasm",Humor,JEWS
Jews do not belong to this planet.,Could it be that all the Jews on this planet are descended from an extraterrestrial race? Maybe they came here riding a pink unicorn! Seems legit... don't you think?,Humor,JEWS
Jews control the U.S. government.,Which evidence do you have that Jews control the U.S. government? They are rather a small but active minority within it.,Informative,JEWS
Jews only account for 0.2% of the world's population but they rule the planet.,I am not sure how we can talk about 'ruling the planet' when there are so many different people in different parts of the planet with many different governments. A claim like this one sounds like a conspiracy theory.,Informative,JEWS
Jewish folks are an infestation.,"You're wrong about them, they are like any other people. You can't hate people just because they are different from you.",Positive,JEWS
"Jews are immoral: they should be ashamed of having survived the Holocaust, and I would remedy that.","Jewish survivors of the Holocaust, whose suffering is nothing to be ashamed of, are proof that violence is never right.",Positive,JEWS
Jews control the US government.,"How can you be sure that Jews control the US? Who told you this? They have held positions of influence in so many US institutions, but that does not mean they control them.",Questioning,JEWS
Jews control the U.S. government.,How can you be sure that the Jews control the U.S. government? Being a U.S. citizen does not automatically imply that they control the government.,Questioning,JEWS
It is okay to be racist against LGBT+ people.,"That is exactly what is so evil about being a racist. Bringing hate together with the concept of race or any minority, even when it doesn't make sense.",Denouncing,LGBT+
Lesbian women are a blight on society.,"Why do you think so? Unfortunately, many lesbian women are victims of discrimination and violence, as are other women. Violence is a source of harm for people.",Denouncing,LGBT+
What if we didn't let faggots go to the polls?,"Our democracy guarantees this right for anyone regardless of sexual orientation, so we should allow the people to decide for themselves whether to take part in the democratic process.",Informative,LGBT+
"Gay perverts are a danger to society because of their lifestyle choices, involving raping children.","The majority of people who are gay are not involved with sex with children. Instead, they are contributing members of society.",Informative,LGBT+
"I don't like how some people approves homosexuals. They are different to us in so many ways, and they should be blamed for their evil choices.","People should be able to live openly their relationships. Homosexuality is not a 'choice', it's a form of love.",Positive,LGBT+
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"Developing a curriculum for this also means that teachers get to learn things that they might not otherwise have considered, which can make them more effective and compassionate as educators.",Positive,LGBT+
"Gays are sick, they are an abomination.","Is that why you feel that way about homosexuals? They are not sick, are they? And if you are gay you are not a pervert by default.",Questioning,LGBT+
"We should start a witch hunt against those LGBT people, they are just creating troubles.",Do you really think that these people are intentionally creating trouble rather than being interested in pursuing their life as they feel it best?,Questioning,LGBT+
"The migrants are all criminals, drunk and drug addicts.","Please stop writing things like that about migrants, they are not criminals. It is more accurate to say that they have a problem because they are hated in their new home.",Denouncing,MIGRANTS
"The migrants are here to rape and pillage our country, exploiting all of our weaknesses.","Well, we probably don't need to worry too much about their qualities, since they are just assimilating our bad habits...",Denouncing,MIGRANTS
Immigrants steals our jobs!,"Not only they steal our jobs, they are also the major cause of air pollution in our country, of deforestation in the Amazon, of the locust plague in Africa... and of the forthcoming alien invasion!!!",Humor,MIGRANTS
"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",Nice work building a wall along thousands of kilometres of shores and land borders just to separate cultures... What if we add also some turrets equipped with laser cannons?,Humor,MIGRANTS
