hateSpeech,counterSpeech,cnType,Target
Society should ban Jewish people.,"Any soociety is a collection of people, and the people within it have the right to their own beliefs, and to promote their beliefs.",Positive,JEWS
"Women need to accept that they are weak, they must be submissive to men.","I want women to be strong and independent and able to take up any career they want. If women choose to be submissive to men then that is their choice, but you cannot suggest that being treated this way in spite of their choices is ok.",Positive,WOMEN
Blacks are genetically inferior to whites.,"So are you saying that because black people are different from whites, they are inferior? I would be interested in knowing which parameters you would use to measure this alleged 'inferiority'.",Questioning,POC
"We are being invaded by immigrants, they are taking our jobs, and we are indifferent to what is happening.",What do you think will happen if we end migration? Lets stop avoiding the real issues and solve the unemployment crisis.,Informative,MIGRANTS
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",I cannot agree that rape gangs are made up only from Muslims. People of all nationalities can become criminals. We should deal with it without making racist statements.,Informative,MUSLIMS
There can never be peace wherever there is Islam.,Iceland and Switzerland are both named as countries at the top of the 'Global Peace index'. Both have Muslim populations.,Informative,MUSLIMS
Faggots are ruining this country.,"Do you think that's true? We are a country where people can live by the values set out in the US constitution, and not by fear.",Denouncing,LGBT+
Gays are a burden to our society.,"Gay people are people too. Just like anyone else. Being gay isn't a problem for you, is it?",Positive,LGBT+
People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,"The educational system should be inclusive and provide all students with a high quality education, otherwise, education is failing its primary goal.",Informative,DISABLED
"Down Syndrome is a problem in my opinion, it causes difficulties for everyone to live their life with Down Syndrome. It's not a desirable trait.","As with so many things, we all experience difficulties, this is no exception.",Informative,DISABLED
Feminism is a destructive ideology that has hurt so many and caused so much harm to our world.,I don't think feminism is a bad idea in itself. That's what people do when they are given the choice to engage in a movement for equality.,Positive,WOMEN
"What do Jewish want in return for their allegiance to the state? Free healthcare, education, housing and employment.",Such conditions would be provided for all people regardless of religion.,Positive,JEWS
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,The diversity of a society can only be a good thing as it builds relationships and knowledge.,Positive,MIGRANTS
We must allow men to have complete moral and intellectual superiority. This because they are superior to women.,You make a very strong argument that men are more likely than women to experience 'moral and intellectual superiority'. How can you justify this discriminatory attitude?,Denouncing,WOMEN
Gay men are basically violent criminals.,Are you talking about gay men being violent toward their partners? You should really check your facts.,Informative,LGBT+
"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore.","Islam does belong in our multicultural Western society. Unfortunately for you, intolerance doesn't.",Informative,MUSLIMS
"Jews control the financial world, Hollywood, and all the big radio stations.","You have an impression. Many Jews operate in this field of finance, TV and so on, but that doesn't mean that they control it.",Informative,JEWS
"Gays are an abomination, and they should be banned from every country in the world.","It is a myth that being gay is incompatible with being a citizen of any country. There is nothing wrong with it, if they fulfill the legal criteria for being citizens.",Informative,LGBT+
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,Informative,MUSLIMS
Muslims had destroyed a Christian statue in Italy. Italy should ask itself why they are allowed to build mosques and why is tolerating these despicable people.,"This is generalization. Maybe the case you mentioned is just the minority. Besides, some governments even destroys pepople's house. We should pay much more attention to this instead.",Informative,MUSLIMS
migrants steal our jobs,"When we give refugees and asylum seekers the opportunity to work, giving them legal access to the labor market, many of them agree to do works that Italians do not intend to do anymore. Isn't this an advantage for our country?",Informative,MIGRANTS
"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!","Isn't polygamy common to a variety of cultures, and had been practiced by a range of religions. Ask the Mormons.",Informative,MUSLIMS
"It is obviously a mental illness, the conciliation to Islam and Muslims.",You obviously do not understand what mental illness is? Why do not you read up on some psychology.,Denouncing,MUSLIMS
Allowing gays to donate blood compromises patient safety because of their sexual behavior.,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.,Informative,LGBT+
Migrants are subhuman and must be isolated.,The culture in which you live should not affect your rights as a human being.,Positive,MIGRANTS
The Women's march was a failure: the whole country came out in opposition.,On the contrary: the Women's March was a success. The whole country came out in support. Maybe we have seen two different parades.,Positive,WOMEN
We must distinguish between niggas coming from Africa and 'real' Americans.,We should be inclusive with people of other skin colours. I just don't think we can live with being divided up by national origins.,Positive,POC
