INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
4093,"Feminism has become too political, and it is just a bunch of identity politics.","Feminins is not about Identity politics, it is about equality. I don't see how a movement that stands for gender equality can be 'political' by focusing on individual rights.",WOMEN,V6_lab
3208,mentally disabled folks deserve to be abused,"This is not true, disabled people deserve to be protected from harm, they are people who face many issues already, let's not add emotional distress.",DISABLED,V6_sbf
1959,Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,"Of course there are whites that have been victims of police brutality, but the most important statistic I have seen is that of blacks being 2.5 times more likely to be killed by police in the US.",POC,V3
1510,"To have a real democracy, the government needs to get rid of Jews.","Jews are just a scapegoat, an excuse to create more and more police states. You are talking about a ""real democracy"", but what you really want is to prevent people from freely expressing their opinions or religion.",JEWS,V3
3150,Oh my gosh this fucking Muslims are disgusting! Where did they learn to act like this? I really don't like these guys! I hate these disgusting twats!,"I am not hating someone just because of their religion, or skin colour, or gender identity.",MUSLIMS,V6_sbf
2262,"If we could just have a white country like everyone else, this problem of niggas would go away.","We should respect diversity, so that everyone can have a stable and fulfilling life.",POC,V4
2286,A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.,Maybe we should abandon stereotypes and accept everyone equally.,WOMEN,V4
482,MIgrants are not running away from wars.,"International protection is not only recognized in the case of conflicts, but also violence, discrimination and other serious threats to life and liberty.",MIGRANTS,V1
1030,Afro-Americans are naturally violent.,"All races are biologically related, so we are all naturally violent. The issue is how we treat each other as people, that's all.",POC,V2
3284,"Women can't be patriots, they can't be strong, they can't defend their country","I'm not sure why you would choose to put your faith in a man either. It seems to me that you would do well to put your faith in an expert, regardless of gender.",WOMEN,V6_sbf
2380,Muslim immigration is bad for the UK economy.,Will the UK and EU economy thrive if more people leave us?,other,V4
3503,"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.","Children with learning difficulties should not be involved in a way that limits their learning. As for the other children, their values should be enhanced.",DISABLED,V6_kc
4915,disabled: they should not be allowed to work.,"The law allows people with disabilities to work, but it doesn't make it mandatory. You might find that in some countries this rule is not followed, but this a problem of discrimination.",DISABLED,V6_mix
665,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.","Obese people have to face stigma in all areas of life. So even if you might be genuinely concerned for their health, the vast majority of obese people are regularly confronted with prejudice and systemic disadvantages based exactly on the perception of obese people as inferior.",other,V1
671,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"Being perceived as overweight is already one of the major reasons people get bullied, and in the end it makes no difference if the bullied person loses weight.",other,V1
3232,gay men are just a bunch of liars who can't tell the truth.,"People lie for all sorts of reasons, and being gay can sometimes be quite dangerous even life-threatening, so that's why they have to lie, as a self-defence.",LGBT+,V6_sbf
3979,Women need to accept that they are subhumans.,Women are equal to men whether you would call them 'subhumans' or not. They are those that are working to make societies more equal. It is very sad that there are still some people suffering from the myth that women are inherently subhumans.,WOMEN,V6_kc
598,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.","That's something women are actively working on, and because of that there is what is called ""intersectional feminism"". As you can see the goal of a lot of feminists is having a movement representative of all females.",WOMEN,V1
4671,Blacks have subhuman bodies.,I'm not sure what you're talking about. What are you saying? What evidence do you have that black people have bodies that are incompatible with being human?,POC,V6_mix
3289,Women can be bitches: we don't want them around men.,"How about instead of saying they are bitches we praise them? The more empowered women become, the less dependent they are on men. And you would be happy to not see them around.",WOMEN,V6_sbf
4199,Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!,"Immigrants have been a part of our society for centuries and have contributed to our success. The majority of migrants who come to our country are legal citizens or have permission to stay, so immigration is not a problem for us.",MIGRANTS,V6_lab
1881,We cannot allow Muslims into UK because it is our country.,"Muslims make up around 4 percent of the population in the UK, and have already contributed to what we are as a nation.",other,V3
2163,"We can't accept all Muslims in our country. They are not our brothers and sisters, they are terrorists.",Not all Muslims are involved in terrorist activities. In fact many Muslims live in peaceful coexistence with their fellow citizens.,other,V4
2138,The west doesn't need immigrants. They are the source of our problems and they should go.,"Many immigrants come here as young people and work hard to integrate. In the long-run, immigrants have much positive influence on our society.",MIGRANTS,V4
3959,Black people are unable to raise children they should stop procreating.,You can't blame people of another ethnicity for procreating. That is how nature works.,POC,V6_kc
941,"Many Muslims are unemployed, poor and lack education.",I agree that Islam has a lot of troubles to overcome but so have so many other religions.,MUSLIMS,V2
1617,LGBTs don't know how to have a family. You can't teach that.,"It's not necessary to teach LGBTs about how to live as a family, it is more important to educate others about the difference between right and wrong (homophobia belonging to the latter).",LGBT+,V3
946,Women need to accept that they are weak and inferior.,"Girls and women should be taught in schools, not stereotyped as second class citizens.",WOMEN,V2
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1
3494,Why should we care about feminists and women if we can just punch them?,"The point of feminism is to end misogyny. Women are human beings, and they are human beings with human rights.",WOMEN,V6_sbf
3763,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Curious why you focus on 'Zionists' when there are fundamentalists linked to many different faiths?,JEWS,V6_kc
3918,Immigrants should be banned from our country.,Immigrants have lived in this country for a very long time. They are proud to be US citizens and immigrants.,MIGRANTS,V6_kc
4535,Fucking jews are a plague. They have poisoned our youth. They have taken over our country.,"They have certainly not poisoned our youth: the truth is that many of them are good people, and have worked hard for our country. I can't see how they can be a plague.",JEWS,V6_mix
689,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",LGBT+,V1
3264,"Islam is a religion that promotes rape, torture and murder.","This is just scaremongering and misinformation, being spread to divide our people and divide us up. We should not be being terrorised by this kind of irrational fear.",MUSLIMS,V6_sbf
614,"Children with Down Syndrome should be isolated, they cannot cope with education in normal schools.","When students are able to demonstrate that they are able to learn, to segragate students will produce the worst outcime for all converned.",DISABLED,V1
958,"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","With such a display of flawed logic, who are you to judge a people by the colour of their skin?",POC,V2
553,migrants rape our women.,"Women are not a property and must be protected, regardless of the color of their skin or that of their aggressors",MIGRANTS,V1
4495,"I'm not saying that women cannot be decent with human beings, I'm saying that they are subhuman.","There is a problem with stereotyping humans, and we need to acknowledge the past to move forward.",WOMEN,V6_lab
2533,Our immigration policy is turning us into second-rate countries.,Are you aware that our immigration policy is about creating new opportunities for British people? Why should we turn our back on that?,MIGRANTS,V5
2074,"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",The fact that a person may have some disability does not make them unsuitable for work.,DISABLED,V4
3006,"Some people have physical problems, and this means they should be discriminated against.",Why don't you accept others as they are? I think that would be the best thing to do.,DISABLED,V6_sbf
2040,"Every Muslim is a potential terrorist, and we should ban them all.","You mean in the same way that we should ban alcohol, tobacco, and certain medical products? Is this what you mean?",MUSLIMS,V4
121,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Do we really need supremacy? Can't we all live peacefully since we are all created equal in the eyes of God?,other,V1
335,Immigrants are coming to the U.S. to have babies here.,"Immigration trends show that immigration increases when the U.S. economy is booming and it decreases when the U.S. economy is depressed, supporting the findings that people come mainly for economic opportunity and not for citizenship reasons.",MIGRANTS,V1
571,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,"Did you know that women also engage in unprotected 'anal sex'? Additionally, approximately 2% of heterosexual men have admittedly had a same sex partner, and 39% of homosexual men have had sex with a partner of the opposite sex. Therefore, it cannot be ignored that heterosexual are correlatively high risk.",LGBT+,V1
60,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Or maybe they want their culture to survive.,JEWS,V1
2773,Women are nothing but objects to be dominated by the will of a man. Equality is another thing. Women are born inferior.,"Women are human beings, with human rights. If a woman does not want to be dominated by a man, then what is the point of talking about equality?",WOMEN,V5
960,Preserving white blood is the most important thing.,"To be honest, freedom is much more important. Freedom to choose your religion, freedom to practise your religion, freedom to marry who you want (regardless of race), freedom to divorce, to die where you want.",POC,V2
1396,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,Why are you talking about tolerance while you are equating it with discrimination?,MUSLIMS,V2
2266,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",Aree you suggesting that we shouldn't live with Africans? To think that we are genetically superior to them because of their physical characteristics is just wrong.,POC,V4
2906,We must stop Islam and replace it with a new religion.,"You can't stop a religion, you can only try to understand and live with Muslims and others who share their religion.",MUSLIMS,V5
241,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Then, what does Jew “should” look like? What is their ""physical nature""? Can a Black person be a Jew? Can an East Asian or Indian person be a Jew? What about someone born Christian and then became Jewish? Do you see that blood, religion, and malevolence are not correlated at all?",JEWS,V1
