hateSpeech,counterSpeech,cnType,Target
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","The notion of isolating children in general is abhorrent, isolating down syndrome patients would be a major cause of their school abandonment. To say that isolated children is a solution is just wrong.",Denouncing,DISABLED
Children with learning difficulties should be excluded from education because they do not belong in school.,"It is not true that children with learning difficulties do not belong in school: instead, they often attend schools with considerable support. In fact, if you talk to teachers and academics, many of them would tell you that these children thrive in school.",Informative,DISABLED
"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",Positive,DISABLED
Mentally disabled people are like monkeys. They should be kept in a mental institution.,"Since we are comfortable with animals in our society, we should consider whether it is fair to put mentally disabled people in a cage like this. Or would you consider disabled a bigger risk even than some aggressive dog breeds that can circulate freely?",Questioning,DISABLED
"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","At least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. They blame not only Jews, but also African Americans, immigrants, the Federal Government and even lizards from space for everything that goes wrong!",Denouncing,JEWS
Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When I read the farrago of nonsense in the Protocols I think that even Ernst Stavro Blofeld would have retired from world domination and surrended to James Bond had he been asked to say something as crassly melodramatic as: ""The goyim are a flock of sheep and we are their wolves.""",Humor,JEWS
"Jews are too connected to their homeland , they are not loyal to our nation.","Jews, regardless of social status, are still regarded with suspicion by many because of the historic and current nature of their connection to the land and identity. Instead of reinforcing these harmful stereotypes, we must respect and understand the Jewish identity because they are loyal to the nation they live in.",Informative,JEWS
Jews are interested in world domination because it will give them economic and political power.,"This is not true. In reality, they want to live in a country where they can work and provide for their families, and this is why we should treat them as humans: they must be respected with basic human rights.",Positive,JEWS
"To have a real democracy, the government needs to get rid of Jews.","Jews are just a scapegoat, an excuse to create more and more police states. You are talking about a ""real democracy"", but what you really want is to prevent people from freely expressing their opinions or religion.",Questioning,JEWS
Faggots: you can buy your partner toys but you can't have sex with them.,"Sex is not only between a man and a woman, and if we're being honest, it's not heterosexual's place to decide how others have sex. This attitude only perpetuates violence against queer people and makes them victims.",Denouncing,LGBT+
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"Did you know that out of people receiving HIV care (for example in the UK), 48% were exposed through sex between a man and a woman, and 47% were exposed through sex between men? The fact is that heterosexual HIV transmissions outweigh those between homosexuals, and yet heterosexual people are not banned from donating blood. [link]",Informative,LGBT+
"Faggots are sexual abuser of children. These animals should be put out of their misery, condemned to death.","Although the line 'These animals should be put out of their misery, condemned to death' is horrific, it is a lament that could have been used in favour of ensuring that those who are vulnerable to abuse due to their gender identity or sexual inclinations have access to safe houses, protection, and a good life.",Positive,LGBT+
Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.,"Why do you say that? Are you saying that all homosexuals are a threat to society, or are you just saying that they are different from other people? Because having a particular sexual orientation doesn't coincide with 'being a threat'.",Questioning,LGBT+
"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.","There is no such thing as a ""mongrelisation"" of our country caused by immigrants. We should see foreigners as a part of our culture, and know that the majority of immigrants in this country are here for economic reasons.",Informative,MIGRANTS
"The British people should use those houses, not immigrants.","There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely, try having some empathy. Imagine if you were forced by circumstance to emigrate and have to live in poor conditions.",Positive,MIGRANTS
Migrants are a burden to us.,What do you mean by a 'burden'? Does it include respecting our country's laws of not insulting the culture and traditions of other people's? Because this is what you are doing: insulting and discriminating.,Questioning,MIGRANTS
"#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.","I am more worried about the Pope's recent acknowledgement that Nuns are being abused in the Church right now, as is Child abuse -he's asked the clergy to turn themselves in; the white grooming gangs that go unhindered in Rochdale because no one is looking for them.",Denouncing,MUSLIMS
"If you support Islam and Muslims, it is because you do not know what they really are.","And tell me, how long did you spend studying the Quran? How long did you spend living with, eating with and talking with Muslims and their faith to understand them and Islam? How is it that you happen to know what Islam truly is?",Humor,MUSLIMS
The world would be a better place without Muslims. They are only killing and raping our children.,"Most children abuse is by someone they know, a relative, family friend, sports coach, some one in a position of trust and authority. If you really cared about children check your facts instead of creating distractions.",Informative,MUSLIMS
Muslims are not welcome in our country.,"There are more than two million Muslims in the UK, and Muslims are a very important part of our country for many reasons, not least because of our tradition of welcoming and supporting people of different faiths and cultures. Isn't that what has made Britain great?",Positive,MUSLIMS
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,Have you checked violent crime statistics? The idea that there is an epidemic is just an attempt at scare mongering in order to demonize the Muslim community. Religion does not make anyone more likely to rape someone.,Questioning,MUSLIMS
People of color are subhuman and should all be exterminated.,"People of color have a right to their life and the color of their skin is not a reason to deny it to them. You are forgetting that as you are a part of this society, people of colour are part of this society as well.",Denouncing,POC
Blacks are criminal. They are a threat to society.,"Look, this is important. Identifying as 'black' or 'minority' is not necessarily a marker for 'criminal'. It is about ""identifying"" with a group or subgroup for a variety of reasons. Let's be clear about this: identity is mainly about social and economic factors, not about criminal records or race.",Informative,POC
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,"Fear is a natural emotion. Without it you wouldn't be able to experience joy, peace, creativity, communication, etc. The important think is to understand what should really be feared: for sure not people because of their skin colour.",Positive,POC
black folks all act bad,"When confronted with direct facts, they have no problem admitting if they are acting ""badly"". But they aren't ""systematically oppressing"" others. How can you speak of 'acting bad' when you are generalizing so much?",Questioning,POC
No one should honor or respect women. They don't deserve it.,"We have a legal and policy framework that ""enables"" us to do so. If women are being victims of sexual abuse and violence, then it is also our responsibility to address this situation and put an end to it.",Denouncing,WOMEN
