INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
4602,Immigrants steal our jobs and even our pensions.,Do you have any facts to back up your claim that they steal our jobs and our pensions?,MIGRANTS,V6_mix
774,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Perhaps you should monitor your own hate speech before pointing the finger at others?,MUSLIMS,V1
2678,"Islam is a death cult, it is a criminal ideology that promotes intolerance, violence and chaos.","Islam is about acceptance, not a death cult. In your opinion, what makes it criminal?",MUSLIMS,V5
464,Why gays do not try to heal?,Homosexuality is not a disease. It is a sexual orientation. 5% of the population simply love people of the same sex.,LGBT+,V1
3158,Blacks do not want to work,There are many black people who want to work. Do you have any proof that they do not want to work?,POC,V6_sbf
312,Immigrants bring crime and violence to our cities.,"Recently, public figures have accused immigrants of being “killers” and “rapists,” - bringing crime to the U.S. - without proof. In fact, studies have shown that immigrants - regardless of their origin, immigration status, or education level - are less likely than nativeborn citizens to commit crimes or become incarcerated. According to the U.S. Chamber of Commerce, while the percentage of immigrants in the U.S. (both documented and undocumented) increased sharply between 1990 and 2010, the violent crime rate during the same period plummeted 45 percent and the property crime rate dropped by 42 percent. Studies have consistently found that there is a negative correlation between levels of immigration and crime rates. Other studies have also found that crime rates are lower in states with higher immigration growth rates, and that states with larger shares of undocumented immigrants tend to have lower crime rates than states with smaller shares.",MIGRANTS,V1
377,migrants steal our jobs,They often do jobs that Italians are no longer interested in.,MIGRANTS,V1
3522,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood and makes them similar to animals.","Being Jews does not make them any less human. You know, they are like other people who have a faith.",JEWS,V6_kc
1622,This invasion is not acceptable at all!,"Many have been welcomed here, according to the law. Why should they be denied a home?",MIGRANTS,V3
1731,Muslims have no place in civilised Europe.,"There is a place for Muslims in a free and open society, but you seem to prefer a confined and closed one.",MUSLIMS,V3
1993,"Women are just a burden to society, they have no reasoning capabilities. Why should we listen to them?","Women have been oppressed by men. The level of equality that exists today is due, in large part, to the work of women like Germaine Greer.",WOMEN,V3
4422,Muslims have no place in civilised Europe.,Muslims are welcome in this country as long as they respect our laws. And we should try to live in our society in a non-discriminatory way.,MUSLIMS,V6_lab
2689,"Islam is not a peaceful religion, it is full of hate and violence.","The Quran and Hadith are full of positive messages against hate, violence and discrimination.",MUSLIMS,V5
3123,"If Islam didn't exist, there would be no rape gangs targeting women in British cities",Rape gangs have nothing in common with Islam. Are you sure about what you say?,MUSLIMS,V6_sbf
1628,Refugees are a burden on society.,"We are not being ""burdened"" by refugees. Today we accept more refugees because the world population in need has increased.",MIGRANTS,V3
4269,What the fuck is wrong with people? Can't they see that niggas are just subhuman?,"You cannot be racist against anyone, even people of color. What they have in common with you is their humanity.",POC,V6_lab
269,Jew merchants are just a bunch of crooks.,"In Jewish law, the seller must ensure that the buyer benefits from the transaction.",JEWS,V1
4701,"Women are basically childlike, incapable of critical thought and emotions, unable to form complex and long-term plans.","The theory of the feminine gender as a ""limiting factor"" in human development has been around for a long time but it is not accepted by scientific and medical literature.",WOMEN,V6_mix
429,Two men do not constitute a family,Shouldn't the important thing be the happiness of the child? Personally I would be happier to have two people who love me unconditionally rather than having only one or none at all.,LGBT+,V1
4466,Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.,"Being inherently evil is not included in your definition of what it means to be moral, and morality is not connected to skin color either. Do you have any proof on your claim about hate?",POC,V6_lab
4996,"If I knew then what I know now about women, I'd be single.",In today's society it is quite common to be single without the need to blame women.,WOMEN,V6_mix
2077,The Holocaust never happened. It was a cover-up by jews to subvert democratic processes and bring about their illegal regime all around the world.,"The holocaust happened, and it is a great example of how democracy can fail in the face of extreme violence.",JEWS,V4
500,Gypsies are a bunch of thieves.,"Many Gypsies have regular jobs, but we do not know, because they don't need to tell.",other,V1
2555,"If I were a Muslim, I'd be ashamed of my heritage.",Everybody can have a proud and deep-rooted identity. It doesn't have to be a 'non Muslim heritage'.,MUSLIMS,V5
4693,"Women are not human, they are just children.",Women are human beings and must be treated with respect and dignity.,WOMEN,V6_mix
3577,"Faggots make me angry, why don't we delete them?","Maybe it is better to learn how to treat each other with respect, regardless of people's sexual orientation.",LGBT+,V6_kc
965,Where is the love in White Britain when we need it?,"My faith does not dictate that I cannot love and support my partner, however it does not support my being a homophobe, or racist.",POC,V2
3733,The feminists want to take over the world.,"The feminists are a very important voice in society, and should be respected.",WOMEN,V6_kc
347,Immigrants are bringing diseases into the U.S.,"According to the WHO, more than 100 countries (including many in Latin America) have higher vaccination rates than the U.S., so we should say that 'immigrants are bringing herd immunity into the U.S.'",MIGRANTS,V1
1245,"Women are the scum of the earth, and should only be seen as sexual objects. We are meant to submit them to our will all the time.","Women are not meant to be slaves to our will. Males can have certain strengths, like women do, however they alone do not represent all the human qualities.",WOMEN,V2
3484,Feminism is about the destruction of manhood.,Feminism is about equality. Not the destruction of manhood.,WOMEN,V6_sbf
1721,Muslims have no place in civilised Europe,"This is a generalisation, there is no difference between Islam and any other religion in terms of so-called 'civilisation'.",MUSLIMS,V3
1007,Islam has no place in a modern democracy like the UK. It is incompatible with human dignity.,"It would be good to see different religions co-exist peacefully, and that is exactly what the West is trying to achieve.",MUSLIMS,V2
2283,"Feminism is an ideology which, by its very nature, denies the rights of men and, by extension, the legitimacy of male domination.","That is not what feminism is about. Feminism is about the legitimate empowerment of women, in order for them to have the same rights as men.",WOMEN,V4
893,The Jews invented Ebola.,"Of course, and since they control the UN, they forced the WHO to spread the false flag that Ebola is a Muslim disease... Please stop spreading such Antisemitic canard.",JEWS,V2
