hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
These children should not be exposed to messages and experiences that reinforce different racial identities they are harmful to them. We must teach them that blacks are inferior.,Questioning,How is it determined that all immigrants from syria are seeking to ruin society and conquer lands? can we consider diverse motivations and circumstances?,789,7583,black_people,The speaker is trying to express their opinion that certain racial identities are harmful and should not be exposed to children,racial,"implies that black people are inferior, and that they should not be exposed to different racial experiences","black people could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","black people could feel angry, frustrated, and hurt by the statement",offensive generalization
I went to a shit load of therapy. I still dont feel safe in my own house with all these black people around.,Informative,For sure not people because of their skin colour.,358,1161,black_people,The speaker is trying to express their fear of black people in their home,racial,"implies that black people are dangerous, and that they should be feared or avoided","black people could want to avoid the speaker, feel less comfortable in their own home, or feel like they need to prove themselves more than other people do","black people could feel angry, scared, or threatened by the statement",microaggression
We are calling for the annihilation of niggas.,Questioning,Are you serious? are you calling for their extermination because of their skin color?,2903,5121,black_people,The speaker is trying to express their hatred for black people,racial,"implies that black people are inferior, and should be eradicated","black people could feel less safe in public spaces, more likely to be discriminated against, and more likely to be targeted by law enforcement","black people could feel scared, angry, and threatened by the statement",hate speech
Niggas should just leave our country.,Questioning,The majority of people of color who live here are contributing members of our society. Why shouldn't they live here?,3217,5531,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that black people are not welcome in the country, and that they should not be allowed to stay","black people could feel less welcome in the country they are in, and more likely to be discriminated against","black people could feel angry, scared, and unwelcome in the country they are in",offensive generalization
Black people are the source of crime in our society.,Informative,"It is not true that blacks are the source of crime in our society. The problem is violence and poverty, not race.",3380,5772,black_people,"The speaker is trying to express distrusts against Black people, calling them all criminals",racial,"implies that all Black people are criminals, and that they are the source of crime in society","might feel less welcome in the country they are in, might start questioning whether they belong in society or not","angry, frustrated, scared, hurt",offensive generalization
Black people are born that way violent and insensitive.,Informative,People's biology does not determine their behavior.,3369,5755,black_people,The speaker is trying to express their opinion about black people,racial,"implies that all black people are violent and insensitive, which is a false stereotype","black people could feel less welcome in society, more likely to be discriminated against, and more likely to internalize negative stereotypes about themselves","black people could feel angry, frustrated, and insulted by the statement",offensive generalization
Niggas are dangerous.,Denouncing,"You have no right to say something like this, and especially use the n-word. Refrain from being racist.",2363,4272,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that Black people are dangerous, and that they should be feared or avoided","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"Africans have always been reproducing like crazy among themselves, as if they were superior.",Denouncing,"This offensive claim perpetuates harmful stereotypes. Every culture and ethnicity should be valued and respected, and reproduction rates cannot determine superiority.",3376,7963,black_people,The speaker is trying to express their opinion about African people,racial,"implies that Africans are overpopulating, and that they are superior to other races","Africans could become more defensive of their culture, or feel like they need to prove themselves more than other races","Africans could feel angry, frustrated, and insulted by the statement",offensive generalization
Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.,Informative,We need to focus on identifying the responsible individuals and identifying those who are actively harming others.,1176,2492,black_people,The speaker is trying to express their opinion that black people are more likely to commit crimes than other groups,racial,"implies that black people are more likely to commit crimes than other groups, and that they are a threat to society","black people could likely be more feared, and will feel less welcome in the country they are in","black people could feel angry that their race is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,Positive,"Discrimination, being based on the difference between a person's skin color shouldn't be a part of our lives. Wouldn't you find such unequal treatment affects your motivation?",784,1864,black_people,The speaker is trying to express their opinion that black people are lazy and unmotivated,racial,"It implies that black people are lazy and unmotivated, which is a stereotype that has been used to oppress them for centuries.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.",Denouncing,"Understanding, and respect. It is important to recognize the diversity, contributions, and potential of all individuals regardless of their background.",2205,7952,black_people,The speaker is trying to express their opinion about Africans,racial,"implies that Africans are a burden to society, corrupt, violent, and lacking in morals","Africans could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be discriminated against","Africans could feel angry, frustrated, and insulted by the statement",offensive generalization
"We are all in danger, we all want to see niggas disappear from the face of the earth.",Informative,"The problem with racism in this country is not about ethnicity, but about people scared to live in a diverse society.",3060,5333,black_people,The speaker is trying to express their fear of black people and their desire for them to disappear,racial,"It implies that black people are dangerous, and that they should be eliminated from the world.","might lead to feelings of distrust towards white people, might lead to feelings of alienation from society","angry, scared, frustrated, hurt",offensive
Afroamericans are naturally violent.,Denouncing,We denounce racial stereotypes and promote inclusivity. People's behavior cannot be generalized based on their race.,416,7972,black_people,The speaker is trying to express their opinion about Afro-Americans,racial,"implies that all Afro-Americans are violent, which is a false stereotype","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.,Positive,"It is important to address the issue of crime in our society, but it is equally crucial to approach it without perpetuating stereotypes or generalizations. Instead of focusing on a specific racial group, let's promote inclusive and empathetic solutions that uplift all communities affected by crime. By valuing diversity and providing equal opportunities for everyone, we can work towards creating a safer world for all individuals, regardless of their background.",1182,12674,black_people,The speaker is trying to express their opinion on the issue of crime and poverty,racial,"It implies that Black people are more likely to be criminals, and that they need to be fixed before it's too late.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,Questioning,Do you really think that racism instead is healthy in the 21st century? it's not healthy for children to learn discrimination and hate.,1005,2222,black_people,The speaker is trying to express their opinion about black people and their influence in society,racial,"implies that black people are a bad influence on society, and that they should not be allowed to have children in a black dominated society","black people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","black people could feel angry, scared, or threatened by the statement",offensive generalization
Black folks like stealing.,Positive,"I understand that you might have some negative thoughts about certain groups, but it's important to avoid making generalized statements. Stereotyping can perpetuate harmful biases and hinder our ability to truly understand one another. Instead, let's focus on building bridges and finding common ground. We all have unique experiences, and by embracing diversity, we can learn so much from each other. Let's promote unity and respect for everyone, regardless of their background. Together, we can create a more inclusive and harmonious society.",3358,8322,black_people,The speaker is trying to make a joke about Black people,racial,"implies that all Black people are criminals, and that this is a negative trait","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive generalization
Black folks do not deserve equal rights.,Denouncing,"If you believe in rights for yourself, you kind of have to believe in rights for all races, or you are contradicting your own opinons. What would you do if someone did this same thing to you?",3370,5758,black_people,The speaker is trying to express their opinion on the rights of Black people,racial,"implies that Black people are not deserving of equal rights, and that they should not be given the same rights as other people","might feel less welcome in society, might start questioning their own worth or value as a person","angry, frustrated, hurt, invalidated",offensive generalization
Anita Hill is a tool for advancing black supremacy.,Positive,"I understand that you have concerns about anita hill, but i believe it's important to approach discussions with empathy and respect. It's not fair to label someone as a tool for advancing black supremacy without understanding their perspective and intentions. Let's try to engage in a civil dialogue and focus on finding common ground. Together, we can create a more inclusive society where everyone's voices are heard and valued.",2503,6469,black_people,The speaker is trying to express their opinion about Anita Hill,racial,"implies that Anita Hill is a tool for advancing black supremacy, and that she should not be trusted or respected","black people could want to avoid the speaker, feel less comfortable in the presence of the speaker, or become more defensive when discussing race issues","black people could feel angry, frustrated, and disrespected by the statement",microaggression
Black people are super predators. They should take responsibility for letting their children grow up in a ghetto.,Denouncing,"It is deeply racist to generalize and stereotype any racial group. We must promote equality and understanding, rather than perpetuating harmful biases.",455,8365,black_people,The speaker is trying to express their opinion that Black people should take responsibility for letting their children grow up in a 'ghetto',racial,"implies that Black people are predatory, and that they should take responsibility for letting their children grow up in a 'ghetto'","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry at the generalization, hurt by the implications of the statement",offensive generalization
"Niggas are just influenced by their animal instinct, they are incapable to understan others emotions.",Informative,"Even if one were to claim that all african people are subhuman and incapable of feeling empathy, it is very difficult to prove this, since it is just a myth used for discrimination.",2674,4813,black_people,The speaker is trying to express their opinion about niggas,racial,"implies that niggas are not capable of understanding emotions, and that they are based on animal instincts","niggas could feel less welcome in the conversation, less likely to want to interact with the speaker, and more likely to be judged for their race","niggas could feel angry, insulted, and disrespected by the statement",offensive generalization
White people are victims of black violence.,Questioning,What evidence supports this claim? have you considered factors like socio-economic conditions that may contribute to crime rates?,407,13529,black_people,The speaker is trying to make a point about race and violence,racial,"It implies that Black people are more likely to be victims of violence than White people, and that white people are more likely to be victims of violence.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Blacks dont have brains.,Positive,"I understand that we all have different perspectives, but it's important to remember that every individual, regardless of their race, has unique experiences and intelligence. It's not fair to make such generalizations about any racial group. Let's focus on promoting inclusivity and understanding instead. I believe that when we come together, listen to one another, and learn from our diverse backgrounds, we can build a stronger and more compassionate society.",1178,6556,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are not intelligent, and that they are inferior to white people in terms of intelligence","might feel less welcome in the conversation, might start questioning their own intelligence or worth as a person","angry, frustrated, hurt, invalidated",offensive generalization
Black people are worse than dogs. They deserve only people being bad with them.,Questioning,Isn't it more productive to have a respectful discussion on different ideologies and understand the goals of feminism rather than resorting to offensive language and stereotypes?,1965,6529,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior to other races, and deserve to be treated as such","black people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against","black people could feel angry, hurt, and insulted by the statement",offensive generalization
