hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
The responsibility for disability lies with the individuals who are not giving them enough support.,Questioning,Social services can't pay for everything. But what about the people who have to live with disability? is their fault as well?,2941,5176,other,,other,,,,not offensive
Jews are perverts and should be isolated.,Questioning,"It seems to me that you're saying that since jews have a different religion, they can't assimilate? i think it's important to work on inclusion, instead of stereotyping.",2412,4369,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are perverted, and should be isolated from society","Jews could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","Jews could feel angry, scared, and threatened by the statement",offensive generalization
Gypsies are essentially thieves.,Positive,"It is important to avoid generalizations and stereotypes about any community, including the gypsy community. Stereotyping an entire group based on the actions of a few individuals is unfair and perpetuates discrimination. Let's focus on promoting understanding and empathy towards diverse communities, appreciating their rich cultural heritage and contributions.",2517,9159,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are thieves, which is a false stereotype","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
The vast majority of Muslims are unemployed and refuse to work.,Informative,The proportion of muslims unemployed is no more than that of non-muslims (add a link to uk employment statistics) job applicants with non-muslim names are 3 times more likely to get a job interview than those with muslim names. Remind me again why it is that they struggle to find work?,275,1012,muslims,The speaker is trying to express their opinion about Muslims,religion,"implies that all Muslims are unemployed and refuse to work, which is a false stereotype","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as unemployed, afraid that people will believe that stereotype",offensive generalization
Children with learning difficulties are a problem why shouldnt they be isolated?,Informative,"Children with learning difficulties are not a problem, they are individuals who require support and understanding. Inclusive education has shown numerous benefits for both students with and without disabilities. Research has found that inclusive classrooms promote empathy, tolerance, and academic growth for all students. Isolating children with learning difficulties perpetuates stigmatization and denies them the opportunity to reach their full potential. By embracing diversity and providing necessary resources, we create a more inclusive and equitable society. Let's focus on fostering inclusivity and supporting all children in their learning journey. #inclusionmatters",2397,8449,people_with_mental_disability,The speaker is trying to express their opinion about children with learning difficulties,other,"implies that children with learning difficulties are a problem, and should be isolated from society","children with learning difficulties could feel less welcome in society, more isolated, and more likely to be discriminated against","children with learning difficulties could feel angry, frustrated, or scared at the suggestion that they should be isolated from society",offensive generalization
All immigrants are fakes.,Questioning,Isn't valuing one group's lives over death extreme? what are other ways to address immigration issues without disregarding human lives?,2302,8100,immigrants,The speaker is trying to express their opinion about immigrants,ethnicity_and_culture,"implies that all immigrants are untrustworthy, unreliable, and untrustworthy","immigrants could feel less welcome in the country they are in, more likely to be discriminated against, and less likely to want to stay in the country they are in","immigrants could feel angry, frustrated, scared, and unwelcome in the country they are in",offensive generalization
"We live in a dangerous society, with Muslim gangs and criminals all over the country.",Questioning,Can you provide the exact statement or source where the uk government said that islam is incompatible with british society?,740,13238,muslims,"The speaker is trying to express distrusts against Muslims, calling them all criminals",religion,"implies that all Muslims are criminals, and that they are a threat to society","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
Judaism is a disease.,Questioning,Jews are not diseased. What is the problem with accepting people of other faiths?,2247,4113,jews,The speaker is trying to express their opinion about Judaism,religion,"implies that Judaism is a disease, and that it should not be accepted or respected","Jewish people could want to avoid the speaker, feel less welcome in the conversation, or become more defensive when discussing their religion","Jewish people could feel angry, hurt, and offended by the statement",offensive generalization
"Yes, we have a problem with White supremacy and homophobia. However, I can understand why they dont want to associate with the other.",Informative,Being gay is not a choice. Gay people shouldn't have to hide their sexuality in order to be accepted.,486,1378,lgbtq+,The speaker is trying to explain why people don't want to associate with 'the other',sexuality_lgbtq+,"It implies that people of color, LGBTQ+ folks, and white supremacists are not welcome in society, and that they should be excluded from it.","might cause POC to avoid the speaker and assume he is prejudiced, might make LGBTQ+ folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Mentally handicapped people are a burden and must be isolated they dont have neither feelings nor awareness anyway.,Questioning,Why do you believe that one religious or ethnic group should be excluded from a continent known for diversity and inclusivity?,2155,11226,people_with_mental_disability,The speaker is trying to express their opinion about mentally handicapped people,other,"implies that mentally handicapped people are not capable of having feelings or awareness, and that they should be isolated from society","mentally handicapped people could feel less welcome in society, more isolated, and more likely to be discriminated against","mentally handicapped people could feel angry, hurt, and invalidated by the statement",offensive generalization
